row,utc,local_edt,observed_sqm_mag_arcsec2,original_H_apparent_deg,sun_alt_geometric_deg,sun_azimuth_deg,sun_alt_geom_tminus30s_deg,sun_alt_geom_tplus30s_deg,moon_alt_geometric_deg,moon_illumination_percent,moon_zenith_separation_deg,aod550_primary_frozen,surface_pressure_hpa,primary_solar_geometry,sqm_nominal_range,comparison_role
11,2025-08-08T00:48:00Z,2025-08-07T20:48:00-04:00,7.58,-0.45905744100338,-1.12979631448798,293.13557263617287,-1.0446140709341563,-1.2149248491761233,4.057238012013169,97.95378481403418,85.94276198798683,0.3240000000,1019.8583,true,true,primary_solar
12,2025-08-08T00:50:00Z,2025-08-07T20:50:00-04:00,7.81,-0.720919690066529,-1.4699859773272947,293.47486439578665,-1.3850199030692953,-1.5548974515791143,4.337383850446095,97.95789211690885,85.66261614955391,0.3233333333,1019.8750,true,true,primary_solar
13,2025-08-08T00:52:00Z,2025-08-07T20:52:00-04:00,8.08,-0.973355531023119,-1.8093021496642165,293.81508333089636,-1.724555819437739,-1.8939929818254937,4.616209377132511,97.96199541130164,85.3837906228675,0.3226666667,1019.8917,true,true,primary_solar
14,2025-08-08T00:54:00Z,2025-08-07T20:54:00-04:00,8.39,-1.21688560571481,-2.1477302279450963,294.1562511035509,-2.063207247529971,-2.2321968041873714,4.893699151089922,97.96609469388203,85.10630084891008,0.3220000000,1019.9083,true,true,primary_solar
15,2025-08-08T00:56:00Z,2025-08-07T20:56:00-04:00,8.68,-1.45274527124686,-2.485255825402045,294.4983896665043,-2.400959831524753,-2.569494500193641,5.16983789969098,97.97018996494407,84.83016210030902,0.3213333333,1019.9250,true,true,primary_solar
16,2025-08-08T00:58:00Z,2025-08-07T20:58:00-04:00,9.02,-1.68320588568344,-2.821864311744427,294.84152080500564,-2.737798974155155,-2.905871408094568,5.4446101419333015,97.97428122397123,84.5553898580667,0.3206666667,1019.9417,true,true,primary_solar
17,2025-08-08T01:00:00Z,2025-08-07T21:00:00-04:00,9.35,-1.91187133430706,-3.1575409276441646,295.18566625309404,-3.0737099485634025,-3.2413127344039774,5.718000285341292,97.97836846987677,84.28199971465871,0.3200000000,1019.9583,true,true,primary_solar
18,2025-08-08T01:02:00Z,2025-08-07T21:02:00-04:00,9.75,-2.14473873665242,-3.4922708931466384,295.5308478078237,-3.4086778960534416,-3.5758036669173836,5.989992715935249,97.98245170337894,84.01000728406476,0.3193333333,1019.9750,true,true,primary_solar
19,2025-08-08T01:04:00Z,2025-08-07T21:04:00-04:00,10.16,-2.39260075210348,-3.8260389569687128,295.87708686561814,-3.7426879354278166,-3.9093289196251253,6.260571434706112,97.98653092100122,83.73942856529389,0.3186666667,1019.9917,true,true,primary_solar
20,2025-08-08T01:06:00Z,2025-08-07T21:06:00-04:00,10.57,-2.67882516535815,-4.158830069046009,296.22440511710204,-4.075724714763619,-4.241873407892604,6.52972060658599,97.99060612312769,83.47027939341402,0.3180000000,1020.0083,true,true,primary_solar
21,2025-08-08T01:08:00Z,2025-08-07T21:08:00-04:00,10.97,-3.07627131184026,-4.490628926465592,296.57282408119306,-4.407773078034475,-4.573421794246114,6.797424193469918,97.99467730912286,83.20257580653008,0.3173333333,1020.0250,true,true,primary_solar
22,2025-08-08T01:10:00Z,2025-08-07T21:10:00-04:00,11.37,-3.89083689749163,-4.82142008607763,296.92236522151313,-4.738817617843123,-4.9039586000020545,7.063666048674749,97.99874447800295,82.93633395132525,0.3166666667,1020.0417,true,true,primary_solar
23,2025-08-08T01:12:00Z,2025-08-07T21:12:00-04:00,11.85,-4.64725345420068,-5.151187962585972,297.2730499454385,-5.068842784092616,-5.233468203329541,7.328429917931149,98.00280762916623,82.67157008206885,0.3160000000,1020.0583,true,true,primary_solar
24,2025-08-08T01:14:00Z,2025-08-07T21:14:00-04:00,12.3,-5.16015071511033,-5.479916933639707,297.62489971779235,-5.397832991783827,-5.561934945412028,7.591699525756876,98.0068667629725,82.40830047424312,0.3153333333,1020.0750,true,true,primary_solar
25,2025-08-08T01:16:00Z,2025-08-07T21:16:00-04:00,12.72,-5.5918400149963,-5.807590901755849,297.97793559145725,-5.725772179881294,-5.8893426915139235,7.853458227720758,98.01092187607838,82.14654177227925,0.3146666667,1020.0917,true,true,primary_solar
26,2025-08-08T01:18:00Z,2025-08-07T21:18:00-04:00,13.12,-5.98506382391086,-6.134193948733613,298.33217890790286,-6.052644468041478,-6.215675486741899,8.113689537327788,98.01497296885088,81.88631046267221,0.3140000000,1020.1083,false,true,secondary_moon_background_sensitive
27,2025-08-08T01:20:00Z,2025-08-07T21:20:00-04:00,13.57,-6.35628802039564,-6.45970989716049,298.687650828655,-6.378433716257634,-6.540917114713256,8.372376777282135,98.01902004067425,81.62762322271786,0.3133333333,1020.1250,false,true,secondary_moon_background_sensitive
28,2025-08-08T01:22:00Z,2025-08-07T21:22:00-04:00,13.99,-6.71344245407702,-6.784122415774612,299.0443724472115,-6.70312363163808,-6.865051205725671,8.629503166935129,98.02306309054374,81.37049683306488,0.3126666667,1020.1417,false,true,secondary_moon_background_sensitive
29,2025-08-08T01:24:00Z,2025-08-07T21:24:00-04:00,14.42,-7.0609150946099,-7.1074150178462965,299.4023647868729,-7.0266977667864134,-7.188061342895297,8.885051823703384,98.02710211783388,81.11494817629662,0.3120000000,1020.1583,false,true,secondary_moon_background_sensitive
30,2025-08-08T01:26:00Z,2025-08-07T21:26:00-04:00,14.82,-7.40129629123701,-7.429571169823455,299.7616489211091,-7.349139627329116,-7.509930627826217,9.139005851873163,98.03113712297919,80.86099414812684,0.3113333333,1020.1750,false,true,secondary_moon_background_sensitive
31,2025-08-08T01:28:00Z,2025-08-07T21:28:00-04:00,15.22,-7.73628804172217,-7.7505738536343625,300.12224548373666,-7.670432234763947,-7.830642328282421,9.39134800065276,98.03516810261581,80.60865199934725,0.3106666667,1020.1917,false,true,secondary_moon_background_sensitive
32,2025-08-08T01:30:00Z,2025-08-07T21:30:00-04:00,15.55,-8.06699640982408,-8.070406217534547,300.4841753933072,-7.99055877791875,-8.150179443086111,9.642061180247298,98.03919505707553,80.3579388197527,0.3100000000,1020.2083,false,true,secondary_moon_background_sensitive
